ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
5596269525750A1F,electric_bike,2021-02-21 18:50,2021-02-21 21:04,Dearborn St & Van Buren St,624,State St & Randolph St,TA1305000029,41.87619517,-87.62913033,41.88444767,-87.6282675,member
FFDE87BEB4B3CAA9,docked_bike,2021-02-27 17:28,2021-02-27 17:58,South Shore Dr & 67th St,KA1503000029,Lake Park Ave & 56th St,TA1309000063,41.773643,-87.567514,41.793242,-87.587782,casual
8B38A53BE9F8CCEE,classic_bike,2021-02-09 18:48,2021-02-09 18:57,Broadway & Sheridan Rd,13323,Clarendon Ave & Leland Ave,TA1307000119,41.952833,-87.649993,41.967968,-87.650001,casual
49E8FCBE47EB8668,classic_bike,2021-02-25 15:46,2021-02-25 15:55,Clinton St & Madison St,TA1305000032,State St & Randolph St,TA1305000029,41.882242,-87.641066,41.8847302,-87.62773357,member
D3856A02DAFE5A91,classic_bike,2021-02-26 10:46,2021-02-26 10:58,Damen Ave & Foster Ave,KA1504000149,Budlong Woods Library,15585,41.9756148,-87.67945904,41.98366471,-87.69642256,member
02F93949A7C7516C,classic_bike,2021-02-02 15:02,2021-02-02 15:13,LaSalle St & Jackson Blvd,TA1309000004,Lake Shore Dr & Ohio St,TA1306000029,41.878166,-87.631929,41.89257,-87.614492,casual
CCFD5BABE6FB51FB,electric_bike,2021-02-27 0:53,2021-02-27 1:06,Leavitt St & Chicago Ave,18058,Western Ave & Fillmore St,644,41.895437,-87.68198467,41.86869717,-87.68625433,member
CF962CAA55CF383D,electric_bike,2021-02-01 19:15,2021-02-01 19:47,Clinton St & Roosevelt Rd,WL-008,Western Ave & Fillmore St,644,41.86705317,-87.64109383,41.8686625,-87.68628417,member
B5660A233909E283,electric_bike,2021-02-13 18:39,2021-02-13 18:54,Clinton St & Roosevelt Rd,WL-008,Western Ave & Fillmore St,644,41.867225,-87.64111133,41.86864283,-87.6862495,member
C159841C857D28E2,classic_bike,2021-02-02 18:27,2021-02-02 18:52,State St & 33rd St,13216,Kimbark Ave & 53rd St,TA1309000037,41.834734,-87.625813,41.799568,-87.594747,member
70E75F0B60CB337E,classic_bike,2021-02-03 20:20,2021-02-03 20:28,Wood St & Milwaukee Ave,13221,Western Ave & Walton St,KA1504000103,41.907655,-87.672552,41.89841769,-87.68659602,member
123312E3CE52672E,classic_bike,2021-02-24 14:07,2021-02-24 14:11,Eastlake Ter & Rogers Ave,523,Greenview Ave & Jarvis Ave,520,42.02088728,-87.66505793,42.015962,-87.66857,member
E77092DB8F91A894,classic_bike,2021-02-27 14:04,2021-02-27 14:45,Halsted St & Willow St,TA1307000166,Lake Shore Dr & Monroe St,13300,41.913865,-87.648755,41.880958,-87.616743,casual
008266277FAD0901,classic_bike,2021-02-08 10:07,2021-02-08 10:22,Michigan Ave & 8th St,623,Morgan St & Polk St,TA1307000130,41.872773,-87.623981,41.871737,-87.65103,member
4673BC7F332BDB47,classic_bike,2021-02-02 17:40,2021-02-02 18:16,Halsted St & Roscoe St,TA1309000025,Damen Ave & Chicago Ave,13132,41.94367,-87.64895,41.895769,-87.67722,casual
F103D1566B6FEB89,docked_bike,2021-02-26 21:07,2021-02-26 21:52,Michigan Ave & 8th St,623,Michigan Ave & 8th St,623,41.872773,-87.623981,41.872773,-87.623981,casual
512EA2E78778F0CB,classic_bike,2021-02-12 15:33,2021-02-12 15:53,Eastlake Ter & Rogers Ave,523,Glenwood Ave & Touhy Ave,525,42.02088728,-87.66505793,42.012701,-87.666058,member
3ED701AA2F2AB376,classic_bike,2021-02-09 14:58,2021-02-09 15:27,Eastlake Ter & Rogers Ave,523,Glenwood Ave & Touhy Ave,525,42.02088728,-87.66505793,42.012701,-87.666058,member
